"idElement","idChallenge","Type","Headline"
6,13,1,"From PLAY! 1.0"
2223,13,5,"What Do You Think?"
2227,13,0," ""My experience is that in letting students follow their interestes and passions
2229,13,4," This video is the result of an afterschool progam that PLAY and MC Lars collaborated on to give students a chance to a explore different form of learning. MC Lars created a program where students could connect their talents and relate them to understanding 19th century literature.  Think of a song where you learned something and share it with us by singing in a video. "
2230,13,0," What Do You Think?  Why do you think connecting your passion to other subjects is important? "
2234,13,0," After working on their rap the guys got to perform live! "
2236,13,3,"From PLAY! 1.0"
2259,13,3,"From PLAY! 1.0"
2209,14,5,"What Do You Think?"
2210,14,0," Made this video just messing about with transitions and effects in Movie Maker. Can you use it to rmix something about the ocean using pictures music video text etc. "
2213,16,5,"What Do You Think?"
2214,16,0," What will we do today? "
2215,16,3,"From PLAY! 1.0"
2217,16,0," Play a Lady Gaga song or write your own song and post the video on this site. "
2220,17,5,"What Do You Think?"
2232,18,5,"What Do You Think?"
2238,18,4," What is your communication management plan? "
2239,18,0," Skin cancer is a rare disease in children but it does occur. The patient in this case was an 9 yo male with no prior medical problems. The parents report seeing this lesion for the past couple years but they can not recall if their boy had it as an infant. On exam there is no lymphadenopathy. "
2240,18,2,"From PLAY! 1.0"
2260,18,0," After an excisional biopsy
2254,19,5,"What Do You Think?"
2256,19,0," Cultural Vibrations "
2258,19,0," The Challenge Blah blah blah  You're going to look at musical instruments from Africa. You're going to figure out how the instruments work. What kind of instrument is it? Does it have strings that are strummed? Do you create sound by thumping on it? Smithsonian African Art Museum
7,20,1,"From PLAY! 1.0"
2167,20,0," We connect with other learners of shared interests to affiliate with a domain . Connection is forming online affliations through memberships in communities centered around media
2169,20,0," The PLAY platform offers participants opportunities to build connections between challenges through designing and sharing a collection of challenges centered on a specific theme
2177,20,0," Commenting on media elements and challenges
2180,20,0," Participation is a great way to see if you are making connections.  "
2181,20,4," Creating a Call to Action on a YourTurn makes connecting with people more interactive and personal. Create a Call to Action in a challenge. Share the Call to Action
2184,20,0," Flagging inappropriate content
2757,20,5,"How do you think we facilitate CONNECTIONS in the PLAY design model?"
9,21,1,"From PLAY! 1.0"
2196,21,5,"How do you think the ability to circulate media affected our web culture
2198,21,0," Circulation is how and where we spread media. In the PLAY platform
2201,21,0," With In the challenge builder you can circulate many forms of media. When you collect all the different types of media from all over the web your challenge represents the vision you want to circulate. You can circulate:  Pictures -- Videos -- Music -- News Articles -- Journal Articles -- Twitter feeds -- RSS Feeds (blog feeds) -- Quotes        Most importantly ideas "
