"idElement","idChallenge","IsCheckpoint","Type","idMedia","X","Y","Width","Height","SourceUrl","Headline","MediaType","Uploaded"
6,13,0,1,1051,0,0,50,50,"http://files/8f8ddaec-dae4-401f-96d5-a9022ae1f4f0.jpg","From PLAY! 1.0",1,"2013-04-25 22:50:37"
2223,13,1,5,5,0,24,6,8,"","What Do You Think?",0,"2012-05-25 04:23:55"
2227,13,0,0,2552,9,0,13,1,"","<P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN STYLE=""font-size:14;color:#800080;font-style:italic;"">""My experience is that in letting students follow their interestes and passions, they would better relate to the material.  I used the art of freestyle rap to invite students into the program. I wanted to give them structure on hip-hop as a cultural form.""</SPAN><SPAN STYLE=""font-size:14;color:#800080;font-weight:bold;font-style:italic;"">-</SPAN><SPAN STYLE=""font-weight:bold;""> MC Lars</SPAN></P>",0,"2012-05-25 05:12:02"
2228,13,0,2,,9,2,6,7,"","",,""
2229,13,1,4,2553,0,6,9,3,"","<P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN STYLE=""font-weight:bold;"">This video is the result of an afterschool progam that PLAY and MC Lars collaborated on to give students a chance to a explore different form of learning. MC Lars created a program where students could connect their talents and relate them to understanding 19th century literature. </SPAN></P><P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN STYLE=""font-weight:bold;"" /></P><P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN STYLE=""font-weight:bold;"">Think of a song where you learned something and share it with us by singing in a video. </SPAN></P>",0,"2012-05-25 05:12:02"
2230,13,0,0,2554,15,8,7,1,"","<P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN STYLE=""font-size:16;font-weight:bold;"">What Do You Think?</SPAN></P><P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN /></P><P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN STYLE=""font-size:16;color:#0000FF;"">Why do you think connecting your passion to other subjects is important?</SPAN></P>",0,"2012-05-25 05:12:02"
2231,13,0,2,,15,2,7,5,"","",,""
2233,13,0,2,,0,9,6,7,"","",,""
2234,13,0,0,2555,0,15,7,0,"","<P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN STYLE=""color:#FF0000;font-style:italic;"">After working on their rap the guys got to perform live!</SPAN></P>",0,"2012-05-25 05:12:03"
2235,13,0,2,,15,9,8,8,"","",,""
2236,13,1,3,1057,6,10,8,7,"http://files/aad66da4-9b15-4da1-bf97-b663f49468d8.wmv","From PLAY! 1.0",2,"2013-04-25 22:50:37"
2259,13,1,3,1052,0,0,9,6,"youtube#62IMPo3walE","From PLAY! 1.0",2,"2012-05-31 22:40:11"
2209,14,1,5,5,0,13,6,8,"","What Do You Think?",0,"2012-05-25 04:23:55"
2210,14,0,0,2540,15,0,7,3,"","<P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN>Made this video just messing about with transitions and effects in Movie Maker. Can you use it to rmix something about the ocean using pictures music video text etc. </SPAN></P>",0,"2012-05-25 05:12:01"
2211,14,1,4,2541,15,3,7,3,"","",0,"2012-05-25 05:12:01"
2212,14,0,0,2542,0,7,9,5,"","",0,"2012-05-25 05:12:01"
2213,16,1,5,5,0,12,6,8,"","What Do You Think?",0,"2012-05-25 04:23:55"
2214,16,0,0,2543,15,0,7,3,"","<P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN>What will we do today?</SPAN></P>",0,"2012-05-25 05:12:01"
2215,16,1,3,1048,0,0,15,6,"youtube#bxDlC7YV5is","From PLAY! 1.0",2,"2012-05-31 22:40:11"
2216,16,1,4,2544,15,3,7,3,"","",0,"2012-05-25 05:12:01"
2217,16,0,0,2545,0,6,9,5,"","<P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN>Play a Lady Gaga song or write your own song and post the video on this site.</SPAN></P>",0,"2012-05-25 05:12:02"
2220,17,1,5,5,0,17,6,8,"","What Do You Think?",0,"2012-05-25 04:23:55"
2224,17,0,0,2549,0,9,9,8,"","",0,"2012-05-25 05:12:02"
2225,17,0,0,2550,15,0,7,4,"","",0,"2012-05-25 05:12:02"
2226,17,1,4,2551,15,4,7,4,"","",0,"2012-05-25 05:12:02"
2232,18,1,5,5,0,11,6,8,"","What Do You Think?",0,"2012-05-25 04:23:55"
2238,18,1,4,2557,15,3,7,2,"","<P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN>What is your communication management plan?</SPAN></P>",0,"2012-05-25 05:12:03"
2239,18,0,0,2558,0,4,9,5,"","<P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN>Skin cancer is a rare disease in children but it does occur.  The patient in this case was an 9 yo male with no prior medical problems.  The parents report seeing this lesion for the past couple years but they can not recall if their boy had it as an infant.  On exam there is no lymphadenopathy.</SPAN></P>",0,"2012-05-25 05:12:03"
2240,18,0,2,1050,9,6,14,5,"http://files/40ae09c9-3ed2-df47-f0ed-edb3a1ed455c.jpg","From PLAY! 1.0",1,"2013-04-25 22:50:37"
2260,18,0,0,2556,15,0,7,2,"","<P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN>After an excisional biopsy, how would you manage your communication with this family?</SPAN></P>",0,"2012-05-25 05:12:03"
2254,19,1,5,5,0,13,6,8,"","What Do You Think?",0,"2012-05-25 04:23:55"
2256,19,0,0,2567,15,0,7,3,"","<P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN STYLE=""font-size:40;font-family:Arial Black;color:#FFA500;"">Cultural Vibrations</SPAN></P>",0,"2012-05-25 05:12:04"
2257,19,1,4,2568,15,3,7,3,"","",0,"2012-05-25 05:12:05"
2258,19,0,0,2569,0,4,9,5,"","<P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN STYLE=""font-size:28;font-family:Arial Black;color:#000000;font-weight:normal;font-style:normal;"">The Challenge</SPAN></P><P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN STYLE=""font-size:12;font-family:Arial Black;color:#000000;font-weight:normal;font-style:normal;"">Blah blah blah</SPAN></P><P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN STYLE=""font-size:12;font-family:Arial Black;color:#000000;font-weight:normal;font-style:normal;"" /><SPAN STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;"">You're going to look at musical instruments from Africa. You're going to figure out how the instruments work. What kind of instrument is it? Does it have strings that are strummed? Do you create sound by thumping on it?</SPAN></P><P STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><SPAN STYLE=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;"">Smithsonian African Art Museum, then develop ways to manipulate sound by varying the construction and fundamental elements of a musical instrument based on discoveries made about the science of sound. In response to their explorations, students will use found or recycled materials to create an instrument that reflects their own cultural interests. Then, students create a short musical performance using their created instruments. Students will use a variety of digital media to record, support, reflect on, and present their learning process. </SPAN></P>",0,"2012-05-25 05:12:05"
7,20,0,1,1046,0,0,50,50,"http://files/711f7334-c854-436c-a7eb-d254a535c196.jpg","From PLAY! 1.0",1,"2013-04-25 22:50:37"
2167,20,1,0,6911,8,0,16,3,"","<div class=""autofill""><p style=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><span style=""font-size:24;color:#800080;"">We </span><span style=""font-size:24;color:#008000;font-style:italic;"">connect</span><span style=""font-size:24;color:#800080;""> with other learners of shared interests to affiliate with a domain</span><span style=""font-size:24;"">.</span></p><p style=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><span style=""font-size: 24px; color: rgb(0, 128, 0); font-style: italic; "">Connection</span><span style=""font-size: 24px; ""> is forming online affliations through memberships in communities centered around media, such as; Facebook, Youtube, gameing and blogs.</span></p><p style=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><span style=""font-size:24;""></span></p></div>",0,"2013-03-14 19:16:59"
2169,20,1,0,7634,0,0,8,9,"","<div class=""autofill""><p style=""font-family:"" helvetica="""" neue"",="""" helvetica,="""" arial,="""" sans-serif;="""" color:="""" rgb(0,="""" 0,="""" 0);="""" font-style:="""" normal;="""" text-align:="""" left;="""" ""=""""><font size=""4""><span style=""font-weight: normal;"">The </span><span style=""font-weight: normal;"">PLAY platform</span><span style=""font-weight: normal;"">&nbsp;offers participants opportunities to build </span><span style=""color: rgb(0, 128, 0);""><b>connections</b> </span><span style=""font-weight: normal;"">between challenges through designing and sharing a collection of challenges centered on a specific theme, such as the Environment.</span></font></p><p style=""font-family: 'Portable User Interface'; color: rgb(0, 0, 0); font-weight: normal; font-style: normal; text-align: left;""></p><p style=""font-family: 'Portable User Interface'; color: rgb(0, 0, 0); font-weight: normal; font-style: normal; text-align: left;""><font size=""4""><span style=""color: rgb(0, 255, 255);""><span style=""color: rgb(0, 0, 0);"">The P</span></span>LAY platform fosters communities of practice with other learners of shared interests. &nbsp;The PLAY engine has the ability to recognize, find others that have similar interests to you and recommend that you connect.&nbsp;</font><span style=""font-size:18;font-weight:bold;""></span></p></div>",0,"2013-04-03 13:49:51"
2172,20,1,2,,8,3,4,8,"","",,""
2173,20,1,2,,12,3,4,8,"","",,""
2174,20,1,2,,16,3,4,8,"","",,""
2175,20,1,2,,20,3,4,8,"","",,""
2177,20,1,0,6915,14,13,10,2,"","<div class=""autofill""><p style=""font-size:12;font-family:Portable User Interface;color:#000000;font-weight:normal;font-style:normal;text-align:Left;""><span style=""font-size:18;color:#800080;font-weight:bold;"">Commenting on media elements and challenges, Answering the issue posed by the interactive question elements,  creates connections to other users </span></p></div>",0,"2013-03-14 19:18:44"
